date,rain,temp,rhum,wdsp,wddir,msl
08-dec-2023 00:00,0.6,7.6,89,10,200,989.7
08-dec-2023 01:00,0.0,8.1,88,11,210,989.6
08-dec-2023 02:00,0.1,8.4,91,12,200,989.8
08-dec-2023 03:00,0.3,8.8,92,12,210,989.9
08-dec-2023 04:00,2.0,8.9,92,12,210,990.6
08-dec-2023 05:00,4.4,9.2,91,13,230,990.7
08-dec-2023 06:00,1.4,9.0,93,12,230,990.8
08-dec-2023 07:00,3.6,9.1,92,13,230,991.1
08-dec-2023 08:00,1.5,9.4,91,15,230,991.2
08-dec-2023 09:00,1.6,9.3,92,15,230,991.8
08-dec-2023 10:00,0.8,10.0,86,16,230,992.0
08-dec-2023 11:00,0.2,9.8,89,17,240,992.6
08-dec-2023 12:00,0.1,10.3,81,17,230,992.5
08-dec-2023 13:00,0.1,10.3,82,19,240,992.3
08-dec-2023 14:00,1.1,9.3,92,21,240,992.5
08-dec-2023 15:00,0.7,9.5,89,19,230,992.7
08-dec-2023 16:00,0.1,9.6,87,19,230,993.1
08-dec-2023 17:00,0.4,9.6,87,18,240,993.4
08-dec-2023 18:00,0.2,9.7,83,16,240,994.2
08-dec-2023 19:00,0.0,9.9,78,15,240,994.7
08-dec-2023 20:00,0.0,9.8,77,14,240,994.8
08-dec-2023 21:00,0.0,9.4,80,12,240,994.8
08-dec-2023 22:00,0.0,9.0,85,7,210,994.3
08-dec-2023 23:00,0.0,8.5,87,5,160,992.8
